site,n_obs,rmse_log,mae_log,r2_log
115553_48392,361,0.5884336408054285,0.4715393234996168,0.09049091415674193
114021_46842,362,0.51883487672137,0.41106132632715625,-0.11309698514250588
114158_46244,364,0.9344624668339973,0.7645857021195342,-0.36452038658318364
115324_47594,362,0.49748107091247096,0.3669745187347305,-0.04664268464141519
112501_46003,365,0.7575015998433638,0.6056632013848634,-0.02385715234307484
111092_44658,361,1.5147649860884902,1.3325214530072738,-5.091977551029788
113484_47177,365,0.7712010603025397,0.6364916663327653,-0.06163254321243983
112013_46659,365,0.6141424390165049,0.47580336085389446,0.03235010304452679
111303_47494,365,0.3462207700107766,0.26294840695509886,0.29544180635929906
111056_45684,352,0.6596298863230075,0.5751738799869458,-1.2592688392411544
114224_47013,365,0.4866027241321096,0.39401385045711423,-0.04382555954774503
105370_45440,362,0.40523558496164497,0.3189749040628091,0.2744444773261643
106490_45366,357,0.4212134048713944,0.3253190812505037,0.3658471350089546
114189_48364,361,0.6922637409728535,0.5310610468348569,0.013665818806375518
111987_46850,346,0.5254397481481813,0.4137910758146371,0.26986537256490295
109455_47049,357,0.46226866891500595,0.34739495284839356,-0.007533200292415554
107862_48318,365,0.4301734347968888,0.3309447118192046,0.2983254442592953
104677_47868,365,0.5155514434786744,0.4124402406539514,-0.12132906065685245
113155_47122,110,0.6810369347002212,0.5522823676926184,-0.2936633570805276
114001_45860,118,0.3789147268573011,0.3157126454162616,0.4362577530578374
115672_47955,106,0.4079345179212728,0.33389690035141306,0.34255527100113536
114270_47773,93,0.38282334391367906,0.31270997839246667,0.40850876070005604
106557_45648,120,0.5770012981609085,0.48705173586733425,-0.8249229887772473
105103_48308,93,0.4668144606449331,0.3954700819754556,0.06769927646191232
111712_46826,94,0.47874390430744124,0.39695326480347165,0.17055184946166724
108720_47582,107,0.4236274643568867,0.34385405649324385,0.19344774527833952
113997_48510,106,0.8267960326732503,0.689002403587483,-1.9408402505902784
104476_48487,104,0.3543733443396684,0.2779354080722473,0.3476024674316749
