fold,site,period_init_std,period_learned_std,period_learned_days
0,115553_48392,3.4704714047602154,2.044827699661255,215.20803089656258
1,114021_46842,3.470416627644535,2.2673182487487793,238.62783037596589
2,114158_46244,3.471408299714728,2.032068967819214,213.80751741503906
3,115324_47594,3.4682534143480046,2.1929986476898193,230.94989332527905
4,112501_46003,3.470100931717893,2.440664052963257,256.89527851961094
5,111092_44658,3.469824235992904,2.165290355682373,227.92863517672546
6,112013_46659,3.470100931717893,2.175851583480835,229.02209662038257
7,111303_47494,3.470452879357926,1.6051024198532104,168.9300155430581
8,111056_45684,3.470355529602445,2.2959156036376953,241.64186264936782
9,114224_47013,3.4732911826027246,2.085987091064453,219.36162128519084
10,105370_45440,3.4701644942017515,2.367476224899292,249.18723380096702
11,106490_45366,3.471789482446861,2.1448516845703125,225.6493608699955
12,114189_48364,3.4704253241032252,2.5934510231018066,272.95155426884486
13,111987_46850,3.472290738682133,2.037717819213867,214.34738317746584
14,109455_47049,3.4689559446805784,2.2543179988861084,237.35950015616842
15,107862_48318,3.470515992720437,1.8019143342971802,189.6401607088233
16,104677_47868,3.4729786112362997,2.1868300437927246,229.98692560647814
17,108720_47582,3.467213958253058,2.186319351196289,230.31550767832985
18,113997_48510,3.4680777299293117,2.405186176300049,253.308697008789
19,111712_46826,3.470956762613601,1.4472150802612305,152.2909515206368
20,113155_47122,3.468330156211981,2.2324275970458984,235.09704759813482
21,114001_45860,3.4689574252357662,2.150433301925659,226.4212751111999
22,115672_47955,3.4688580253609302,1.745962381362915,183.83939473177242
23,104476_48487,3.4678840928548427,2.312593698501587,243.57066896153057
24,114270_47773,3.4695804478985086,1.809576392173767,190.49789655167044
25,105103_48308,3.467808187807031,2.1782326698303223,229.42430479658265
26,106557_45648,3.4690643859255355,2.059842109680176,216.8761507030829
27,113484_47177,3.4697015480962525,2.0496273040771484,215.76102798378523
