fold,site,n_train,n_test,avg_batch_size,train_time,infer_time,fold_time,stopped_epoch,n_infer_points
0,115553_48392,14846,726,20.0,1.9660272630862892,0.26630694000050426,2.2323342030867934,110,4048
1,114021_46842,14845,727,19.701923076923077,1.8979715202003717,0.22125268215313554,2.1192242023535073,104,3992
2,114158_46244,14857,715,19.79032258064516,1.157477896893397,0.22863527620211244,1.3861131730955094,62,4058
3,115324_47594,14853,719,21.13157894736842,2.0278501741122454,0.2851473360788077,2.312997510191053,114,4086
4,112501_46003,14842,730,20.752380952380953,1.6308394900988787,0.12838451005518436,1.759224000154063,105,4017
5,111092_44658,14851,721,20.181818181818183,1.595242379931733,0.11700401781126857,1.7122463977430016,121,4021
6,112013_46659,14842,730,20.43243243243243,1.1736226379871368,0.1339612710289657,1.3075839090161026,74,4041
7,111303_47494,14845,727,20.637037037037036,1.9108745350968093,0.12802586890757084,2.03890040400438,135,4075
8,111056_45684,14862,710,20.510204081632654,1.3864304719027132,0.11819706996902823,1.5046275418717414,98,3989
9,114224_47013,14875,697,19.839080459770116,1.2517017889767885,0.130108003038913,1.3818097920157015,87,4010
10,105370_45440,14844,728,20.204819277108435,1.2527333809994161,0.12606805586256087,1.378801436861977,83,3985
11,106490_45366,14865,707,20.253731343283583,1.0259791291318834,0.13028661394491792,1.1562657430768013,67,3984
12,114189_48364,14846,726,20.617391304347827,1.5955887290183455,0.11147580691613257,1.707064535934478,115,3991
13,111987_46850,14844,728,20.25,1.5536574569996446,0.1579218371771276,1.7115792941767722,104,4080
14,109455_47049,14848,724,19.68421052631579,1.3653961999807507,0.12275039008818567,1.4881465900689363,95,4088
15,107862_48318,14846,726,20.141025641025642,1.1414967339951545,0.11644845688715577,1.2579451908823103,78,4065
16,104677_47868,14868,704,19.97530864197531,1.1393278690520674,0.1098120550159365,1.249139924068004,81,4003
17,108720_47582,15350,222,22.15463917525773,1.557675824034959,0.17276533599942923,1.7304411600343883,97,4210
18,113997_48510,15351,221,20.813953488372093,1.1899829381145537,0.11898962198756635,1.30897256010212,86,4183
19,111712_46826,15425,147,21.0752688172043,1.4902362020220608,0.14945743116550148,1.6396936331875622,93,4315
20,113155_47122,15349,223,21.790123456790123,1.0881018990185112,0.1482312879525125,1.2363331869710237,81,4272
21,114001_45860,15336,236,21.485981308411215,1.5639284949284047,0.11844263994134963,1.6823711348697543,107,4182
22,115672_47955,15354,218,21.0,1.159489006968215,0.1457492639310658,1.305238270899281,88,4175
23,104476_48487,15356,216,21.57246376811594,2.110684908926487,0.1597110410220921,2.270395949948579,138,4211
24,114270_47773,15361,211,20.818181818181817,1.0876259980723262,0.11718961806036532,1.2048156161326915,77,4198
25,105103_48308,15374,198,20.7,1.9430385520681739,0.15602448396384716,2.099063036032021,140,4215
26,106557_45648,15337,235,20.873563218390803,1.157903163926676,0.12428551190532744,1.2821886758320034,87,4192
27,113484_47177,14844,728,20.142857142857142,0.9977764319628477,0.1348008019849658,1.1325772339478135,70,3998
28,115195_48971,15494,78,21.373737373737374,1.5014910530298948,0.13011668319813907,1.631607736228034,99,4307
29,109677_48551,15369,203,21.561643835616437,1.073839110089466,0.12407622206956148,1.1979153321590275,73,4227
30,112364_48607,15387,185,21.011494252873565,1.2588091499637812,0.11847379989922047,1.3772829498630017,87,4158
31,114096_46927,15566,6,21.333333333333332,1.2366390470415354,0.14225631696172059,1.378895364003256,96,4300
