fold,site,n_train,n_unique_dates,n_days_per_batch,avg_batch_size,n_test,train_time,infer_time,fold_time,stopped_epoch,n_infer_points
0,115553_48392,14846,730,1,20.0,726,2.010372133227065,1.1624486730434,3.1728208062704653,110,14846
1,114021_46842,14845,730,1,19.701923076923077,727,1.86748728598468,1.0901399131398648,2.957627199124545,104,14845
2,114158_46244,14857,730,1,19.79032258064516,715,1.1700784671120346,1.1588373149279505,2.328915782039985,62,14857
3,115324_47594,14853,730,1,21.13157894736842,719,1.8141443750355393,1.093401642050594,2.9075460170861334,114,14853
4,112501_46003,14842,730,1,20.752380952380953,730,1.6991797839291394,0.9976135951001197,2.696793379029259,105,14842
5,111092_44658,14851,730,1,20.181818181818183,721,1.9272761230822653,1.1272820748854429,3.054558197967708,121,14851
6,112013_46659,14842,730,1,20.43243243243243,730,1.121311391936615,1.0997818529140204,2.2210932448506355,74,14842
7,111303_47494,14845,730,1,20.637037037037036,727,1.8572374677751213,1.1371557901147753,2.9943932578898966,135,14845
8,111056_45684,14862,730,1,20.510204081632654,710,1.3252708229701966,1.096260238904506,2.4215310618747026,98,14862
9,114224_47013,14875,730,1,19.839080459770116,697,1.4012161421123892,1.0801529770251364,2.4813691191375256,87,14875
10,105370_45440,14844,730,1,20.204819277108435,728,1.1701679250691086,1.0488306740298867,2.2189985990989953,83,14844
11,106490_45366,14865,730,1,20.253731343283583,707,0.8464645938947797,1.0820561121217906,1.9285207060165703,67,14865
12,114189_48364,14846,730,1,20.617391304347827,726,1.581182599067688,1.0016301858704537,2.5828127849381417,115,14846
13,111987_46850,14844,730,1,20.25,728,1.5959769668988883,1.0901076970621943,2.6860846639610827,104,14844
14,109455_47049,14848,730,1,19.68421052631579,724,1.2170112028252333,0.9755064779892564,2.1925176808144897,95,14848
15,107862_48318,14846,730,1,20.141025641025642,726,1.1310776879545301,1.031535395188257,2.162613083142787,78,14846
16,104677_47868,14868,730,1,19.97530864197531,704,1.2423126241192222,1.0246619118843228,2.266974536003545,81,14868
17,108720_47582,15350,730,1,22.15463917525773,222,1.3902499410323799,1.1436196418944746,2.5338695829268545,97,15350
18,113997_48510,15351,730,1,20.813953488372093,221,1.156006288016215,1.1192630890291184,2.2752693770453334,86,15351
19,111712_46826,15425,730,1,21.0752688172043,147,1.453811417100951,1.0746077818330377,2.528419198933989,93,15425
20,113155_47122,15349,730,1,21.790123456790123,223,1.2732217300217599,1.1390038768295199,2.4122256068512797,81,15349
21,114001_45860,15336,730,1,21.485981308411215,236,1.7790646818466485,1.055339036975056,2.8344037188217044,107,15336
22,115672_47955,15354,730,1,21.0,218,1.2378414159175009,1.191539412131533,2.429380828049034,88,15354
23,104476_48487,15356,730,1,21.57246376811594,216,1.7109151331242174,1.1527846709359437,2.863699804060161,138,15356
24,114270_47773,15361,730,1,20.818181818181817,211,1.1254545990377665,1.041122926864773,2.1665775259025395,77,15361
25,105103_48308,15374,730,1,20.7,198,1.9223934980109334,1.212890611961484,3.1352841099724174,140,15374
26,106557_45648,15337,730,1,20.873563218390803,235,1.2222806210629642,1.070377202006057,2.292657823069021,87,15337
27,113484_47177,14844,730,1,20.142857142857142,728,0.9065942270681262,1.044849265133962,1.9514434922020882,70,14844
28,115195_48971,15494,730,1,21.373737373737374,78,1.4981595068238676,1.115666737081483,2.6138262439053506,99,15494
29,109677_48551,15369,730,1,21.561643835616437,203,1.4739546719938517,1.1760230720974505,2.649977744091302,73,15369
30,112364_48607,15387,730,1,21.011494252873565,185,1.1242125700227916,1.097524908836931,2.2217374788597226,87,15387
31,114096_46927,15566,730,1,21.333333333333332,6,1.3032917359378189,1.2555754580534995,2.5588671939913183,96,15566
