site,n_obs,rmse_log,mae_log,r2_log
115553_48392,726,0.4675958177654366,0.35989382701647354,0.440129551181604
114021_46842,727,0.5714597732690351,0.47268398299401343,-0.14844251938863717
114158_46244,715,0.9598296409284689,0.7971771659868953,-0.403468309207337
115324_47594,719,0.4708063227740537,0.37280864386581297,0.31805676419786566
112501_46003,730,0.8280100189066801,0.6770566126484654,-0.08708896298690427
111092_44658,721,0.74137436087322,0.6068377401764588,0.09657724267260648
112013_46659,730,0.5380159586801458,0.42223154134376123,0.2955245790852209
111303_47494,727,0.42097815064941185,0.3366726704687924,0.22405497665597307
111056_45684,710,0.8060624659990842,0.6945388309237209,-2.163175988629285
114224_47013,697,0.5435895809379804,0.45486716263990246,-0.19921527570780206
105370_45440,728,0.49442293490022066,0.3862407160749908,0.23163426657051023
106490_45366,707,0.4315549433987206,0.33487664998908734,0.4523102172477389
114189_48364,726,0.6725954130292998,0.5076654582826787,0.1563306199175697
111987_46850,728,0.5506557862108454,0.41933565417409446,0.3351564871660342
109455_47049,724,0.5658052584361102,0.4529857798697924,-0.05705361607479564
107862_48318,726,0.45922078434358654,0.3431747331051648,0.37485462857561824
104677_47868,704,0.4710203519161927,0.3759387683332566,0.1871954197681852
108720_47582,222,0.38109031776372193,0.3001521755987833,0.5777708668006512
113997_48510,221,1.2560646887993683,1.1476856100180526,-2.6938874877069323
111712_46826,147,0.3685176472573312,0.2710239572152329,0.6061682246372817
113155_47122,223,0.7596014553541104,0.6156248765572747,-0.28370145511940437
114001_45860,236,0.5870753288843455,0.4974385541069327,0.12815305148309908
115672_47955,218,0.4283790686610449,0.3405440727712639,0.5984428117576344
104476_48487,216,0.3985962087716059,0.31430581285469855,0.49925757944340043
114270_47773,211,0.558100480491909,0.45507225292976444,0.35009688618019563
105103_48308,198,0.42787651440323554,0.32941343629497366,0.527626014925227
106557_45648,235,0.39604194110511376,0.33276430894078834,0.45039545706534945
113484_47177,728,0.7386973691175698,0.6048572497485768,-0.08049268275482513
115195_48971,78,1.6381226118133945,1.6116668263223377,-51.45941174178757
109677_48551,203,0.36681242664672686,0.2919440901812103,-0.7560055773676329
112364_48607,185,0.5193148968670728,0.3765153304076317,-0.5659346707654773
114096_46927,6,0.5858235759313108,0.3484494807781875,0.326511047475635
