fold,site,base_scale,summer_scale,winter_scale,seasonal_scale,aot_period_days,smog_period_days,residual_period_days,noise
0,115553_48392,0.545897901058197,0.5458977222442627,0.5458978414535522,0.5458979606628418,365.2500013085785,365.2500013085785,365.2500013085785,0.10353285819292068
1,114021_46842,0.6974747180938721,0.6974747180938721,0.6974747180938721,0.6974747180938721,365.2500114028831,365.2500114028831,365.2500114028831,0.13397999107837677
2,114158_46244,0.8115100264549255,0.8115099668502808,0.8115100860595703,0.8115099668502808,365.2499934850397,365.2499934850397,365.2499934850397,0.1153150349855423
3,115324_47594,0.7056902647018433,0.705690324306488,0.7056902647018433,0.7056902050971985,365.24999765518186,365.24999765518186,365.24999765518186,0.11132915318012238
4,112501_46003,0.7326598763465881,0.7326598763465881,0.7326598763465881,0.7326599359512329,365.2500041410646,365.2500041410646,365.2500041410646,0.12399988621473312
5,111092_44658,0.7355138659477234,0.7355139255523682,0.7355139851570129,0.7355139255523682,365.2500109082628,365.2500109082628,365.2500109082628,0.06737737357616425
6,112013_46659,0.7362526059150696,0.7362526655197144,0.7362527251243591,0.7362526059150696,365.2500041410646,365.2500041410646,365.2500041410646,0.12457180768251419
7,111303_47494,0.8225991725921631,0.8225989937782288,0.8225990533828735,0.8225988149642944,365.249988962101,365.249988962101,365.249988962101,0.11809749901294708
8,111056_45684,0.8134841322898865,0.8134841322898865,0.8134841322898865,0.8134841322898865,365.2499928054663,365.2499928054663,365.2499928054663,0.12287529557943344
9,114224_47013,0.7504841089248657,0.7504841089248657,0.7504841089248657,0.7504841089248657,365.24999385626194,365.24999385626194,365.24999385626194,0.15789373219013214
10,105370_45440,0.7209210395812988,0.720920979976654,0.7209210991859436,0.7209211587905884,365.2500033656344,365.2500033656344,365.2500033656344,0.1341744214296341
11,106490_45366,0.6443967223167419,0.6443967223167419,0.6443967223167419,0.6443967223167419,365.2500006854314,365.2500006854314,365.2500006854314,0.644496738910675
12,114189_48364,0.6966071128845215,0.6966069936752319,0.6966071128845215,0.6966069936752319,365.24999770272393,365.24999770272393,365.24999770272393,0.11081857979297638
13,111987_46850,0.7480091452598572,0.7480089068412781,0.7480089664459229,0.748009204864502,365.2499640220482,365.2499640220482,365.2499640220482,0.10608920454978943
14,109455_47049,0.6779939532279968,0.677993893623352,0.677993893623352,0.677993893623352,365.2499913216173,365.2499913216173,365.2499913216173,0.13418681919574738
15,107862_48318,0.5095289945602417,0.5095289945602417,0.5095289945602417,0.5095289945602417,365.2500068881144,365.2500068881144,365.2500068881144,0.21473290026187897
16,104677_47868,0.7135541439056396,0.7135540843009949,0.7135541439056396,0.7135541439056396,365.24999326381845,365.24999326381845,365.24999326381845,0.14738065004348755
17,108720_47582,0.6361284255981445,0.6361283659934998,0.6361283659934998,0.6361284255981445,365.25001554964507,365.25001554964507,365.25001554964507,0.12344085425138474
18,113997_48510,0.7359164953231812,0.7359164953231812,0.7359163761138916,0.7359165549278259,365.24998989701373,365.24998989701373,365.24998989701373,0.14274364709854126
19,111712_46826,0.7784193754196167,0.778419554233551,0.7784194350242615,0.7784194350242615,365.2499931548038,365.2499931548038,365.2499931548038,0.1515420377254486
20,113155_47122,0.7929566502571106,0.7929566502571106,0.7929566502571106,0.7929566502571106,365.25000742937493,365.25000742937493,365.25000742937493,0.12049251049757004
21,114001_45860,0.8103718757629395,0.8103719353675842,0.810371994972229,0.8103718757629395,365.2500022483835,365.2500022483835,365.2500022483835,0.12192107737064362
22,115672_47955,0.7102883458137512,0.7102884650230408,0.7102883458137512,0.7102883458137512,365.24999279810766,365.24999279810766,365.24999279810766,0.13817235827445984
23,104476_48487,0.7821527123451233,0.7821526527404785,0.7821526527404785,0.782152533531189,365.25000320726184,365.25000320726184,365.25000320726184,0.1215629130601883
24,114270_47773,0.7645472288131714,0.7645470499992371,0.7645472288131714,0.7645470499992371,365.2499897256617,365.2499897256617,365.2499897256617,0.13206073641777039
25,105103_48308,0.7269670963287354,0.7269670367240906,0.7269671559333801,0.726966917514801,365.2499999800858,365.2499999800858,365.2499999800858,0.14628535509109497
26,106557_45648,0.8000975251197815,0.8000975251197815,0.8000975847244263,0.8000975251197815,365.2500006920275,365.2500006920275,365.2500006920275,0.14979782700538635
27,113484_47177,0.7574504613876343,0.7574504613876343,0.757450520992279,0.757450520992279,365.25000122147327,365.25000122147327,365.25000122147327,0.16723552346229553
28,115195_48971,0.71924889087677,0.71924889087677,0.71924889087677,0.71924889087677,365.2500012545192,365.2500012545192,365.2500012545192,0.10781053453683853
29,109677_48551,0.6893529891967773,0.6893529295921326,0.6893528699874878,0.6893529295921326,365.250009284037,365.250009284037,365.250009284037,0.1017848551273346
30,112364_48607,0.7510440349578857,0.7510439157485962,0.751043975353241,0.7510440349578857,365.25000396784793,365.25000396784793,365.25000396784793,0.12103361636400223
31,114096_46927,0.815244197845459,0.8152440786361694,0.8152440786361694,0.8152440786361694,365.24998780089663,365.24998780089663,365.24998780089663,0.10521896928548813
