site,n_obs,rmse_log,mae_log,r2_log
115553_48392,726,0.5042897712042118,0.4004960462293659,0.3488116425098621
114021_46842,727,0.5540183178704702,0.45483042226132847,-0.07940936773792906
114158_46244,715,0.8239779863862855,0.6728875344548437,-0.03429759281409628
115324_47594,719,0.47912169523250914,0.3780874822860257,0.29375509769087194
112501_46003,730,0.7989515481451526,0.642147896266995,-0.012126481929112698
111092_44658,721,0.8366201809422966,0.6883924433689507,-0.1504627826240421
112013_46659,730,0.5554742316747782,0.4360684772080933,0.24906324232247168
111303_47494,727,0.4202305573378468,0.3279519730733162,0.22680845082859702
111056_45684,710,0.7457050543692586,0.6389128394766351,-1.707198688995852
114224_47013,697,0.5508750225444914,0.46167167627094235,-0.23157557324764722
105370_45440,728,0.5024851779364932,0.39087336843813414,0.20637144887203962
106490_45366,707,0.4538263768118766,0.3489448783024305,0.39432183777643526
114189_48364,726,0.6862127925394601,0.5258995406461912,0.12182290615997016
111987_46850,728,0.5490388879682738,0.4205376806013659,0.33905513342992677
109455_47049,724,0.46912743544200264,0.3745886029991427,0.2733174665639222
107862_48318,726,0.5121664634929916,0.39443434947653594,0.2223928894900853
104677_47868,704,0.4546123463662196,0.3570659602097114,0.24283723363627963
108720_47582,222,0.4100179130514839,0.32272191733745953,0.511237331332225
113997_48510,221,1.1346689844968594,1.0178563028970466,-2.014380123944217
111712_46826,147,0.4132210063426819,0.3042361990680737,0.5048247201989109
113155_47122,223,0.7089948564592669,0.575463487371216,-0.11835227677238658
114001_45860,236,0.5450262622087029,0.4317384218844707,0.24857186757260052
115672_47955,218,0.45472793508721254,0.35262543622661346,0.547525415769122
104476_48487,216,0.4944241697510663,0.39196822453791985,0.2295447071855914
114270_47773,211,0.5606016281698816,0.45334254256040923,0.34425870435455697
105103_48308,198,0.49191309316881854,0.3815757518395344,0.37565327525693737
106557_45648,235,0.37050295358120994,0.30057787028257227,0.5189931049251131
113484_47177,728,0.6821093471549093,0.5564649235941749,0.07870921498677352
115195_48971,78,1.6861596510706294,1.654421260944589,-54.58120925529754
109677_48551,203,0.34976931862380295,0.275715110400148,-0.59661877860539
112364_48607,185,0.5626523080106836,0.39730977364197845,-0.838197993031931
114096_46927,6,0.6276594140490549,0.41491510005012033,0.22688361180011873
