fold,site,base_scale,summer_scale,winter_scale,seasonal_scale,aot_period_days,smog_period_days,residual_period_days,noise
0,115553_48392,0.3153204619884491,0.11535949259996414,0.08311901986598969,0.021924711763858795,181.23622881876852,330.88125961000657,41.38341766611085,0.14845913648605347
1,114021_46842,0.32988080382347107,0.09469141066074371,0.07510587573051453,0.025109602138400078,248.5488104786538,326.25732213413795,48.09761235716007,0.11413014680147171
2,114158_46244,0.3331415355205536,0.08542992174625397,0.07708056271076202,0.02186940610408783,241.7144464709799,328.2027558200953,48.813487363580954,0.09825284034013748
3,115324_47594,0.3077428340911865,0.13364528119564056,0.09681705385446548,0.02486015111207962,185.72385315331235,339.51264342800937,46.330151841070204,0.14775732159614563
4,112501_46003,0.24825865030288696,0.1356295943260193,0.10417310148477554,0.01663968153297901,200.56508519745122,342.01407580381084,48.26622517743589,0.14001165330410004
5,111092_44658,0.23222684860229492,0.12508293986320496,0.15574371814727783,0.022759296000003815,179.33577281640902,346.25416551290226,35.071699588628746,0.13873998820781708
6,112013_46659,0.32342812418937683,0.11759059131145477,0.0791718140244484,0.022060075774788857,188.099606511573,334.07076368826114,34.57134605036284,0.1437988579273224
7,111303_47494,0.23851092159748077,0.12338569760322571,0.1495945006608963,0.023052018135786057,204.33430791334436,337.8905412474471,35.83218360780221,0.14261575043201447
8,111056_45684,0.28496289253234863,0.14926092326641083,0.12073210626840591,0.023547552525997162,181.12341408384708,344.7783464513523,44.62794835535639,0.14785510301589966
9,114224_47013,0.3152722120285034,0.15330074727535248,0.07986506819725037,0.022946661338210106,189.82827719716522,322.15964346816634,23.975081654974844,0.1469973474740982
10,105370_45440,0.2946128845214844,0.14351359009742737,0.09612198919057846,0.024308130145072937,229.67752258586535,339.50202372258127,38.624163636458306,0.14954565465450287
11,106490_45366,0.34148654341697693,0.09856651723384857,0.07595329731702805,0.024039926007390022,234.6422613533744,331.1020206355923,38.21094409854932,0.10351774841547012
12,114189_48364,0.3139718770980835,0.1047598272562027,0.07799313962459564,0.020938483998179436,208.8077081620479,349.7506774991114,39.87124126960909,0.10392069071531296
13,111987_46850,0.2989831566810608,0.12309537082910538,0.0851840078830719,0.022892573848366737,186.39339438858684,335.8086680519274,50.269244240954855,0.14188237488269806
14,109455_47049,0.35284000635147095,0.10272365063428879,0.08756548166275024,0.021187638863921165,231.17651341497154,343.2928976409867,42.22273300765942,0.10259411484003067
15,107862_48318,0.3496369421482086,0.1326410174369812,0.08069615811109543,0.026054883375763893,192.47887579019445,339.9672719493073,60.10591364806721,0.14393392205238342
16,104677_47868,0.25932323932647705,0.13818359375,0.1331874579191208,0.026423275470733643,193.67930700452555,341.0939555079945,43.81462609933374,0.14768171310424805
17,108720_47582,0.3558509945869446,0.10559491068124771,0.1050184816122055,0.023728877305984497,250.27284028323285,330.9915393417913,41.87070198282167,0.08883640915155411
18,113997_48510,0.3148248493671417,0.12297992408275604,0.07749363034963608,0.02255200408399105,190.70798732298326,319.9447804044615,41.7621126912105,0.10833969712257385
19,111712_46826,0.2918776869773865,0.07845276594161987,0.061151620000600815,0.02109675481915474,294.09386275420945,316.0917688616894,48.34868220667414,0.11947809904813766
20,113155_47122,0.29405370354652405,0.16635383665561676,0.09662549942731857,0.021417248994112015,222.91753130258593,349.5071229366666,40.552686811848915,0.14777982234954834
21,114001_45860,0.29342713952064514,0.12912343442440033,0.11097155511379242,0.022780459374189377,189.4696809056841,337.60297648151584,48.659770125580735,0.14946426451206207
22,115672_47955,0.2670597434043884,0.12876646220684052,0.13981665670871735,0.023969514295458794,215.27302732812234,356.37896055681944,44.192520535334616,0.14966775476932526
23,104476_48487,0.30384206771850586,0.16368015110492706,0.10270670056343079,0.022948890924453735,216.87718160864463,334.02815615983775,46.08081951443893,0.14741630852222443
24,114270_47773,0.3337008059024811,0.08978334069252014,0.07920128107070923,0.022142870351672173,136.02417191687576,349.90740031343415,44.0644776072052,0.11100351065397263
25,105103_48308,0.34928327798843384,0.13757959008216858,0.07588055729866028,0.02254590205848217,193.91790199036595,326.22080599228275,52.13575791668473,0.14508306980133057
26,106557_45648,0.32468900084495544,0.12734900414943695,0.08636366575956345,0.022851351648569107,198.08265042236067,332.9242895683693,46.66948490130539,0.14615391194820404
27,113484_47177,0.3386101722717285,0.10857284069061279,0.08362282067537308,0.021157249808311462,259.40753934562963,407.26043805008766,45.72519039192851,0.09892089664936066
28,115195_48971,0.3039478361606598,0.13736505806446075,0.07350480556488037,0.02101084589958191,187.96295859193066,332.6322112518424,42.46517569956193,0.145563542842865
29,109677_48551,0.3213673532009125,0.12322361022233963,0.09359235316514969,0.021633613854646683,181.8540365621934,328.19561377434894,51.10318052169733,0.14582587778568268
30,112364_48607,0.32353976368904114,0.1468912810087204,0.07848445326089859,0.02248958684504032,218.16242799504533,338.17761732906826,39.57214758180782,0.14195199310779572
31,114096_46927,0.3500390648841858,0.10787515342235565,0.0812457799911499,0.022536590695381165,284.1523549747378,320.14326414343407,62.68870756054897,0.1012224331498146
