site,n_obs,rmse_log,mae_log,r2_log
115553_48392,726,0.5574324473015876,0.45283381809257306,0.20433400381298006
114021_46842,727,0.5747043939544848,0.46665446484599465,-0.161520741042674
114158_46244,715,0.7509932788572835,0.5885312363065703,0.14081557412062284
115324_47594,719,0.8910027819755395,0.7934840015536658,-1.4424280150950488
112501_46003,730,0.7746090987483206,0.5978100050289539,0.04860888569579869
111092_44658,721,1.3375019777464294,1.118073043691221,-1.9403888468559822
112013_46659,730,0.5010454423649147,0.36755468312878403,0.38901610693217836
111303_47494,727,0.40956167234417584,0.3263983219291722,0.2655699206976472
111056_45684,710,0.5547089951775893,0.46111407275018595,-0.4980157327091974
114224_47013,697,0.49161761659743325,0.40641720134714787,0.019133780325872096
105370_45440,728,0.4214413186782412,0.32384933373136376,0.44172909276497563
106490_45366,707,0.4258018793655439,0.332620853380216,0.4668154019675611
114189_48364,726,0.6863798493818148,0.5334239555415561,0.12139527394014327
111987_46850,728,0.686259456448677,0.508976469918813,-0.032608522770411374
109455_47049,724,0.5089876569027333,0.3993643089848375,0.14458362628594112
107862_48318,726,0.46700131272167156,0.3599306880883035,0.35349163170464415
104677_47868,704,0.5192261375776097,0.41670273633455257,0.012311743566033151
108720_47582,222,0.4149427133279466,0.3255423918083505,0.499425582336952
113997_48510,221,1.1955142840065178,1.1125820977891678,-2.3463332498392457
111712_46826,147,0.5537388953174022,0.46127620216245296,0.11079021410465062
113155_47122,223,0.9699486824913031,0.8423475619245893,-1.0930999730896516
114001_45860,236,0.37582478491620314,0.28777135891979005,0.6427078891774812
115672_47955,218,0.4058869126841288,0.31586884844474095,0.6395035299526062
104476_48487,216,0.37038541393421975,0.28626174282029354,0.5676297458149862
114270_47773,211,1.2763060679208391,1.1307210911615284,-2.398861695858677
105103_48308,198,0.47072202966539206,0.37925374954430785,0.4282869302719191
106557_45648,235,0.4702591157327342,0.3932152276928004,0.22510582051739503
113484_47177,728,0.9680084387008149,0.7980605363300072,-0.8554404154535804
115195_48971,78,1.4296017020023168,1.4002240903038579,-38.954041749487004
109677_48551,203,0.3478975105075131,0.2705887745454379,-0.5795757327783504
112364_48607,185,0.5278664789385367,0.40311769267398506,-0.6179319303958652
114096_46927,6,0.5078262539176553,0.3926106216969192,0.49391078269788924
