fold,site,state,n_train,n_unique_dates,n_days_per_batch,avg_batch_size,n_test,train_time,fold_time,stopped_epoch
0,112460_42877,ID,48144,730,3,197.0,708,2.907008175039664,15.68423705548048,106
1,116237_47536,ID,48123,730,3,195.97115384615384,729,2.671417166944593,15.78265386261046,104
2,115553_48392,MT,48126,730,3,195.46212121212122,726,3.3287541018798947,15.87546615046449,132
3,114021_46842,MT,48125,730,3,197.60714285714286,727,2.7399719411041588,15.808418386382982,112
4,114158_46244,MT,48137,730,3,198.04285714285714,715,1.3403645469807088,13.111519277328625,70
5,115324_47594,MT,48133,730,3,197.69911504424778,719,1.9748167770449072,16.054888751590624,113
6,112501_46003,MT,48122,730,3,196.61702127659575,730,2.911088753025979,15.811166508123279,141
7,105343_44097,WY,48130,730,3,196.16666666666666,722,3.1320680058561265,15.740159316454083,102
8,105386_43427,WY,48204,730,3,196.58585858585857,648,2.123918613186106,14.271180644864216,99
9,112046_43465,ID,48133,730,3,194.43478260869566,719,2.0112988299224526,13.713432271033525,92
10,115839_43823,ID,48127,730,3,198.6083916083916,725,2.221397140994668,15.820266985567287,143
11,116028_46209,ID,48122,730,3,197.08823529411765,730,2.0053747640922666,15.269932756433263,68
12,116960_46722,ID,48133,730,3,202.3452380952381,719,2.309608330950141,14.315979049773887,84
13,116571_47317,ID,48125,730,3,197.5137614678899,727,2.52156217279844,14.293991391081363,109
14,115972_44104,ID,48125,730,3,197.1387283236994,727,3.4065425631124526,17.972497584065422,173
15,116116_45931,ID,48128,730,3,200.91,724,2.3383527549449354,14.867279509780928,100
16,113890_45182,ID,48126,730,3,197.03875968992247,726,2.862291779136285,15.756384233711287,129
17,116993_46408,ID,48134,730,3,203.00980392156862,718,2.2639956390485168,14.232522799167782,102
18,111092_44658,MT,48131,730,3,199.17894736842106,721,1.6244956229347736,13.75692954286933,95
19,111864_42082,ID,48168,730,3,197.390243902439,684,3.245788250816986,16.568833961850032,123
20,116106_44890,ID,48129,730,3,199.38333333333333,723,1.9499558380339295,12.96225316496566,120
21,116348_43601,ID,48128,730,3,199.95833333333334,724,2.443423460936174,15.592717804480344,144
22,112013_46659,MT,48122,730,3,198.2521739130435,730,2.3763547900598496,15.688686317997053,115
23,112456_42978,ID,48219,730,3,200.34939759036143,633,2.335262550972402,16.243706949288025,83
24,116563_43580,ID,48126,730,3,196.62666666666667,726,1.8195642430800945,12.899051290936768,75
25,111303_47494,MT,48125,730,3,196.78625954198472,727,2.5421725469641387,15.456019693054259,131
26,105213_43648,WY,48361,730,3,197.73684210526315,491,2.1251492649316788,14.016690275399014,95
27,111056_45684,MT,48142,730,3,196.86607142857142,710,3.4430311070755124,15.739558304892853,112
28,114224_47013,MT,48155,730,3,198.496,697,2.809999196091667,15.355875429697335,125
29,105370_45440,MT,48124,730,3,193.2674418604651,728,1.9212387648876756,13.886374921305105,86
