fold,site,state,inference_days,actual_inference_days,n_infer_points,rmse_log,mae_log,r2_log,infer_time
0,112460_42877,ID,25,25,1580,0.5817489920901173,0.45457971234270594,0.1350709420884456,0.19535701000131667
0,112460_42877,ID,50,50,3292,0.5348833144878169,0.42312357623193964,0.2688149390811043,0.1615411581005901
0,112460_42877,ID,100,100,6830,0.5473194220201181,0.42723816746919224,0.2344193853782599,0.8693581488914788
0,112460_42877,ID,150,150,9891,0.5061820312545428,0.3915765508702982,0.34517891173165005,0.6757501021493226
0,112460_42877,ID,200,200,13078,0.502358713125082,0.3862524227267313,0.35503360458699873,0.7310092221014202
0,112460_42877,ID,250,250,16470,0.5178677215964981,0.4002282945088111,0.3145955909734621,1.43799006100744
0,112460_42877,ID,300,300,19712,0.510551716474516,0.39169988522511856,0.33382444870405314,2.5517093730159104
0,112460_42877,ID,350,350,23064,0.5021266704016684,0.38759840083084995,0.3556292952382787,2.7701941921841353
0,112460_42877,ID,400,400,25904,0.49590036018029066,0.38181111320763683,0.37151045694625484,3.384319612989202
1,116237_47536,ID,25,25,1624,0.5824007942750777,0.47245920843290284,0.31194861746998437,0.19941633311100304
1,116237_47536,ID,50,50,3395,0.5797952715361938,0.46023942807424606,0.3180912031547145,0.198170802090317
1,116237_47536,ID,100,100,6408,0.49251627918212004,0.3884568311112586,0.5079399183634941,0.4072331350762397
1,116237_47536,ID,150,150,10042,0.4961359094794274,0.38819605721803346,0.5006807862328497,0.8535194550640881
1,116237_47536,ID,200,200,12909,0.48577299722632405,0.3800602253412718,0.5213217501629355,0.754124783212319
1,116237_47536,ID,250,250,16472,0.4879673921199234,0.37957269768550056,0.5169872909269916,1.880457567051053
1,116237_47536,ID,300,300,19394,0.4953799524278366,0.3842630999688175,0.5022012418361188,2.4871529140509665
1,116237_47536,ID,350,350,23387,0.47809334326680714,0.3666026230146042,0.536337098801919,2.839025954948738
1,116237_47536,ID,400,400,26252,0.4733823082615573,0.36614607354203516,0.5454297590758094,3.4921357510611415
