fold,site,state,base_scale,summer_scale,winter_scale,seasonal_scale,aot_period_days,smog_period_days,residual_period_days,noise
0,112460_42877,ID,0.08383375406265259,0.06317487359046936,0.3308660387992859,0.04676756635308266,477.4411358851299,306.6095521852942,477.25471948408,0.1201348826289177
1,116237_47536,ID,0.10806766152381897,0.024439694359898567,0.31765854358673096,0.04883415624499321,458.9321109562408,272.49883575721657,435.77966820716426,0.1334800124168396
2,115553_48392,MT,0.1263732761144638,0.03381793946027756,0.37602436542510986,0.012525183148682117,494.79197784700165,284.829937606633,460.87392517026933,0.1442231386899948
3,114021_46842,MT,0.11820489913225174,0.0466371551156044,0.3090413212776184,0.04440012201666832,522.5402290879402,203.09810835417738,410.08096806082216,0.13534803688526154
4,114158_46244,MT,0.10478458553552628,0.06426853686571121,0.19629548490047455,0.22569452226161957,503.7487765201895,476.58019853100274,414.86091221410373,0.13423453271389008
5,115324_47594,MT,0.12683074176311493,0.07797635346651077,0.35824689269065857,0.07996358722448349,480.9996040036352,181.1604062580559,373.48761046340786,0.14067010581493378
6,112501_46003,MT,0.11555462330579758,0.03744177147746086,0.2991499602794647,0.08012599498033524,564.113209871974,298.2205108060089,229.74900135844499,0.13428546488285065
7,105343_44097,WY,0.09787299484014511,0.06626194715499878,0.336138516664505,0.042789559811353683,499.7947401024228,324.9077593159624,431.43770647678775,0.1341351717710495
8,105386_43427,WY,0.103541798889637,0.035157956182956696,0.31652429699897766,0.029977384954690933,561.8551436747722,270.8394086454224,586.9850212366025,0.1346547156572342
9,112046_43465,ID,0.10357794165611267,0.04137349873781204,0.23925921320915222,0.04367945343255997,483.00078929263094,279.3818691643222,524.3742882261424,0.13530300557613373
10,115839_43823,ID,0.11661342531442642,0.03257153183221817,0.273435115814209,0.02101929672062397,372.1135651779216,348.57874511932135,357.6669862914932,0.12860417366027832
11,116028_46209,ID,0.10514532774686813,0.11543723940849304,0.26695987582206726,0.5704688429832458,428.45265685902854,395.02263000482037,429.47475501555533,0.12481113523244858
12,116960_46722,ID,0.10477165877819061,0.04731157794594765,0.32540905475616455,0.0913589745759964,451.76788292304803,307.40365479679934,522.6856332709149,0.14532721042633057
13,116571_47317,ID,0.10571977496147156,0.06045834347605705,0.3695324957370758,0.062004204839468,320.5138169418621,324.2877235286523,357.65612402987745,0.12394294887781143
14,115972_44104,ID,0.13882970809936523,0.05824579298496246,0.504682183265686,0.015247837640345097,260.0468411691567,273.22110628750573,553.0049193538165,0.14075393974781036
15,116116_45931,ID,0.09807880222797394,0.042252279818058014,0.28367456793785095,0.06096877530217171,516.4968203954159,261.81091926045326,426.4776001563156,0.13227073848247528
16,113890_45182,ID,0.11486343294382095,0.03166016936302185,0.3309141993522644,0.03315085172653198,524.2924025490875,281.46611158409837,499.54160701803585,0.12383617460727692
17,116993_46408,ID,0.11321339756250381,0.025535330176353455,0.368185430765152,0.05094084516167641,618.1431819757487,276.2624976905461,607.8438957346144,0.14353670179843903
18,111092_44658,MT,0.09984857589006424,0.0437120646238327,0.3691749572753906,0.10608664155006409,457.56910321331196,282.1449643721435,402.912536138778,0.14621993899345398
19,111864_42082,ID,0.10760849714279175,0.04623844102025032,0.3262719511985779,0.030642451718449593,431.07133391637274,312.2125501099686,396.3672112098058,0.1349049210548401
20,116106_44890,ID,0.12355778366327286,0.05408569425344467,0.2992822229862213,0.08045120537281036,312.8995159030049,315.1935585965916,332.5843161664261,0.1306554675102234
21,116348_43601,ID,0.11448778957128525,0.087245874106884,0.35768306255340576,0.05818107724189758,421.9779605339255,302.33877002740337,481.41290451944457,0.13775020837783813
22,112013_46659,MT,0.11988994479179382,0.07764629274606705,0.4039941132068634,0.0622500441968441,364.4819169320782,285.2920517205795,384.5213381811514,0.14093998074531555
23,112456_42978,ID,0.10773447155952454,0.05825565755367279,0.3779091536998749,0.1637040674686432,531.578060719969,284.92304625284874,500.46150539075813,0.16775934398174286
24,116563_43580,ID,0.1012219488620758,0.055412206798791885,0.2918016016483307,0.37430527806282043,491.82952887429843,382.48275358717217,450.73407239992486,0.17806100845336914
