site,state,n_obs,rmse_log,mae_log,r2_log
112460_42877,ID,708,0.49590036018029066,0.38181111320763683,0.37151045694625484
116237_47536,ID,729,0.4733823082615573,0.36614607354203516,0.5454297590758094
115553_48392,MT,726,0.4345200998309724,0.32937417073835584,0.5165338746228598
114021_46842,MT,727,0.5745197102568984,0.47607251828398234,-0.1607743417457428
114158_46244,MT,715,0.7975055224038526,0.6237971610618095,0.031093891853674394
115324_47594,MT,719,0.44167196704841216,0.34225555629934956,0.3998451452225127
112501_46003,MT,730,0.7275054094273857,0.5676778715249513,0.16079829659288702
105343_44097,WY,722,0.6777635826333568,0.5435935632900348,-0.01189854640148802
105386_43427,WY,648,0.6056270659361696,0.49429149062116473,0.12018387273698317
112046_43465,ID,719,0.5673940470887662,0.4759919264820675,-0.874710008964346
115839_43823,ID,725,0.6297237508230489,0.5000480600094178,-0.45130781585264335
116028_46209,ID,730,0.5350435111527077,0.4427385726064006,-0.19607250487050898
116960_46722,ID,719,0.5727522804095202,0.45558200766454426,0.28202289270177383
116571_47317,ID,727,0.4254815464440412,0.33109491028566895,0.5042275333741639
115972_44104,ID,727,0.5237271439373181,0.4093308089373761,0.1644019576382787
116116_45931,ID,724,0.43743098366626254,0.3438362163336213,0.39702866964491146
113890_45182,ID,726,0.8108654786384117,0.6293895581767355,-0.09949237321863214
116993_46408,ID,718,0.6828892459025402,0.5535722501354582,0.15001820316289782
111092_44658,MT,721,0.8895658199669781,0.7314898370823086,-0.30068483308575455
111864_42082,ID,684,0.512421089699589,0.36780650776224577,0.4114833151414824
116106_44890,ID,723,0.5470534148612661,0.42561543966328913,0.41578059325532546
116348_43601,ID,724,0.4701551444518655,0.37130195134964455,0.34473270774299103
112013_46659,MT,730,0.5114723684922123,0.38313364899825264,0.3633219425963985
112456_42978,ID,633,0.593483594490485,0.43869950794456974,0.27377304974333116
116563_43580,ID,726,0.42953921321328487,0.3297347695793749,0.5016082611389634
111303_47494,MT,727,0.4419050512611978,0.3591275536806824,0.1449928000575167
105213_43648,WY,491,0.4726519032611147,0.3884352737472269,0.3532161365509925
111056_45684,MT,710,0.6019802948223951,0.5082595515582369,-0.764210929373494
114224_47013,MT,697,0.4445748570926807,0.35850160823880967,0.1978701113336948
105370_45440,MT,728,0.5196176559196644,0.4253218120132691,0.15133054631804588
106490_45366,MT,707,0.3959717259276311,0.3090645531821927,0.5389045881649066
114189_48364,MT,726,0.6076232249947742,0.45696393806264174,0.3114535941133021
111987_46850,MT,728,0.5187608855917151,0.3928362100768326,0.4099436787603613
104778_41182,WY,730,0.5947839121112796,0.4651221329918423,0.07191659270559225
109455_47049,MT,724,0.4070700477378919,0.31543813093810574,0.45285636199587487
107862_48318,MT,726,0.44265985031603894,0.34363262897948926,0.4191309811273819
107549_43082,WY,689,0.3660176059764905,0.2861548331703389,0.3758372231262742
108720_42530,WY,726,0.40440382173142203,0.2966815474683439,0.5122808746261271
114371_43683,ID,679,0.6450056293085489,0.4968921986644697,-0.2923297480308711
116557_48292,ID,722,0.6254240481036115,0.4748560905680742,0.24738709205303377
114252_42680,ID,688,0.5468911392165255,0.45520547901148645,-0.09534325013075162
116805_47789,ID,686,0.4982379759461552,0.39791562871740543,0.19536924132745614
116806_46397,ID,690,0.6081602657023596,0.49712818983161355,0.11331977834159401
116536_46335,ID,257,0.5946119930029887,0.5139931144672482,0.3648142956218714
114495_42565,ID,727,0.5333685358771395,0.427646939265112,-0.37325326252440205
106278_42846,WY,25,0.6033789156480185,0.4715491568973442,-0.5333982786540001
110831_44373,WY,666,0.5624892161573357,0.4571920870449395,0.18292377253524084
104677_47868,MT,704,0.48064724352561594,0.391286865647457,0.15363107597651804
105586_41303,WY,94,0.4341340835073005,0.3604214493612926,-0.4461810380504201
106962_44804,WY,261,0.46542815900038353,0.3659258519195922,0.35943909774536553
103379_46894,ND,725,0.630581400238105,0.4791557405159067,-0.08749630532201769
103484_43558,SD,726,0.4582759372853356,0.3612665693851063,0.3786454997491907
103300_47581,ND,718,0.6642787092324565,0.5039532169416642,0.18156111631615635
103640_48153,ND,721,0.6132380269433589,0.4861788424135813,0.012263500896164903
113562_43461,ID,218,0.5115007043469447,0.4405521239468881,0.3869447686305948
114928_44170,ID,186,0.547355155036745,0.47259233053675587,0.21006641868471665
108720_47582,MT,222,0.41984451835485176,0.3436914316294669,0.48752894571412275
