fold,site,state,n_train,n_unique_dates,n_days_per_batch,avg_batch_size,n_test,train_time,fold_time,stopped_epoch
0,112460_42877,ID,48144,730,1,65.64545454545454,708,2.316183789866045,14.832690794253722,110
1,116237_47536,ID,48123,730,1,64.13861386138613,729,2.1650263969786465,14.54138686740771,101
2,115553_48392,MT,48126,730,1,65.06194690265487,726,2.3614357479382306,14.327610709704459,113
3,114021_46842,MT,48125,730,1,68.03508771929825,727,2.319877432892099,14.26175645715557,114
4,114158_46244,MT,48137,730,1,66.95959595959596,715,1.8444555830210447,13.33994997292757,99
5,115324_47594,MT,48133,730,1,64.7603305785124,719,1.8794354430865496,16.636605946579948,121
6,112501_46003,MT,48122,730,1,66.35135135135135,730,1.3568944761063904,13.7407790501602,74
7,105343_44097,WY,48130,730,1,65.78632478632478,722,3.0158548979088664,15.990305786952376,117
8,105386_43427,WY,48204,730,1,65.58241758241758,648,1.8341920739039779,13.783047249773517,91
9,112046_43465,ID,48133,730,1,64.70886075949367,719,1.4348862778861076,13.344913901062682,79
10,115839_43823,ID,48127,730,1,64.97142857142858,725,1.5468171190004796,15.881397364893928,70
11,116028_46209,ID,48122,730,1,65.57352941176471,730,1.5932803379837424,16.08177124802023,68
12,116960_46722,ID,48133,730,1,67.66990291262135,719,2.4508569629397243,14.27489864663221,103
13,116571_47317,ID,48125,730,1,65.47115384615384,727,2.4776511148083955,15.469360145973042,104
14,115972_44104,ID,48125,730,1,64.58762886597938,727,3.136391679989174,16.264776619384065,97
15,116116_45931,ID,48128,730,1,66.02564102564102,724,2.334167117951438,16.319494413444772,78
16,113890_45182,ID,48126,730,1,63.76470588235294,726,2.814729615813121,14.408340788912028,85
17,116993_46408,ID,48134,730,1,69.20618556701031,718,2.01690316805616,14.85878851171583,97
18,111092_44658,MT,48131,730,1,65.83157894736843,721,2.6648722141981125,16.01562310033478,95
19,111864_42082,ID,48168,730,1,66.59139784946237,684,2.5206563668325543,15.728093703975901,93
20,116106_44890,ID,48129,730,1,68.51388888888889,723,2.742626175051555,14.498132669366896,72
21,116348_43601,ID,48128,730,1,66.91304347826087,724,2.271889782976359,14.854443224612623,92
22,112013_46659,MT,48122,730,1,66.44827586206897,730,4.52098457608372,18.52515827654861,203
23,112456_42978,ID,48219,730,1,68.33783783783784,633,2.2981798639521003,15.814530081348494,74
24,116563_43580,ID,48126,730,1,65.85714285714286,726,2.9279864330310374,14.737520098919049,77
25,111303_47494,MT,48125,730,1,62.49315068493151,727,1.6263263381551951,14.59022382623516,73
26,105213_43648,WY,48361,730,1,65.24719101123596,491,2.6084712131414562,15.54885476315394,89
27,111056_45684,MT,48142,730,1,64.94285714285714,710,2.2617749818600714,15.71379288402386,70
28,114224_47013,MT,48155,730,1,66.96666666666667,697,2.8304945009294897,15.031325032701716,90
29,105370_45440,MT,48124,730,1,66.82191780821918,728,2.1523798720445484,14.93263298808597,73
30,106490_45366,MT,48145,730,1,66.32352941176471,707,2.7180509390309453,15.956470265751705,102
31,114189_48364,MT,48126,730,1,66.07692307692308,726,2.782978890929371,16.108920270111412,104
32,111987_46850,MT,48124,730,1,66.875,728,2.9315318597946316,14.978645417140797,88
33,104778_41182,WY,48122,730,1,63.27,730,2.865608056075871,14.590396860148758,100
34,109455_47049,MT,48128,730,1,65.13953488372093,724,2.6451216579880565,15.793989940080792,86
35,107862_48318,MT,48126,730,1,64.48148148148148,726,2.494913646951318,15.580158536089584,81
36,107549_43082,WY,48163,730,1,67.45348837209302,689,2.6826620870269835,15.060631671221927,86
37,108720_42530,WY,48126,730,1,66.6952380952381,726,2.9076804579235613,15.06784866610542,105
38,114371_43683,ID,48173,730,1,65.4954128440367,679,3.1647257641889155,15.783348008058965,109
39,116557_48292,ID,48130,730,1,66.25531914893617,722,2.3685251709539443,15.533222407335415,94
40,114252_42680,ID,48164,730,1,64.76315789473684,688,1.8217490499373525,14.755077823996544,76
41,116805_47789,ID,48166,730,1,64.91176470588235,686,2.7417553518898785,15.006355962017551,102
42,116806_46397,ID,48162,730,1,63.88636363636363,690,2.396995252929628,15.045102580217645,88
43,116536_46335,ID,48595,730,1,65.0,257,2.220171089982614,14.986865072743967,74
44,114495_42565,ID,48125,730,1,67.14634146341463,727,2.4079993809573352,15.193383594742045,82
45,106278_42846,WY,48827,730,1,67.77011494252874,25,2.6827188921160996,18.304599727503955,87
46,110831_44373,WY,48186,730,1,67.92391304347827,666,2.2947631990537047,14.846326511120424,92
47,104677_47868,MT,48148,730,1,65.02083333333333,704,2.2577372090891004,14.667960493825376,96
48,105586_41303,WY,48758,730,1,67.40789473684211,94,2.511330891866237,16.237613051896915,76
49,106962_44804,WY,48591,730,1,64.76666666666667,261,2.7000377241056412,14.40151136321947,120
50,103379_46894,ND,48127,730,1,63.68235294117647,725,1.9741057390347123,14.839806154370308,85
51,103484_43558,SD,48126,730,1,66.57142857142857,726,2.6049821069464087,15.741540868068114,84
52,103300_47581,ND,48134,730,1,66.60317460317461,718,2.5782992138992995,14.758631561882794,63
53,103640_48153,ND,48131,730,1,62.94214876033058,721,3.6074292918201536,17.178807517746463,121
54,113562_43461,ID,48634,730,1,66.0,218,1.8460157150402665,15.455470988992602,91
55,114928_44170,ID,48666,730,1,65.7457627118644,186,1.956748184049502,15.814294244395569,59
56,108720_47582,MT,48630,730,1,65.83582089552239,222,2.676869731862098,15.289050948340446,67
57,113997_48510,MT,48631,730,1,67.02941176470588,221,2.357024713885039,16.093008121009916,68
58,111712_46826,MT,48705,730,1,69.53246753246754,147,2.2610793879721314,15.40142311505042,77
59,113155_47122,MT,48629,730,1,66.83838383838383,223,2.5315796840004623,16.030233558034524,99
60,114001_45860,MT,48616,730,1,66.92941176470588,236,2.97944466304034,15.060682986164466,85
61,115672_47955,MT,48634,730,1,64.90322580645162,218,2.685309826163575,15.83827705658041,93
62,104476_48487,MT,48636,730,1,66.26797385620915,216,3.5039365640841424,15.781516809482127,153
63,104818_41137,WY,48629,730,1,66.81188118811882,223,3.4674823752138764,16.17880664835684,101
64,106956_44815,WY,48632,730,1,66.62857142857143,220,2.479652640176937,15.23032790236175,70
65,109759_42975,WY,48636,730,1,64.01,216,2.8943556621670723,15.465219368692487,100
66,110401_44565,WY,48631,730,1,66.82442748091603,221,3.8613241689745337,17.5091687371023,131
67,108736_42842,WY,48632,730,1,63.77981651376147,220,2.5678676599636674,15.266612154897302,109
68,114270_47773,MT,48641,730,1,66.25396825396825,211,2.5464458719361573,15.480288132093847,63
69,105103_48308,MT,48654,730,1,65.40196078431373,198,2.689743395894766,15.96191709395498,102
70,106557_45648,MT,48617,730,1,66.96938775510205,235,3.8625199960079044,17.89687577309087,98
