fold,site,state,base_scale,summer_scale,winter_scale,seasonal_scale,aot_period_days,smog_period_days,residual_period_days,noise
0,112460_42877,ID,0.07239564508199692,0.03586173057556152,0.26853153109550476,0.016358429566025734,365.24999422010245,365.24999422010245,365.24999422010245,0.10247988253831863
1,116237_47536,ID,0.10079903155565262,0.0262113269418478,0.2572328448295593,0.021348601207137108,365.25001160191647,365.25001160191647,365.25001160191647,0.12429524958133698
2,115553_48392,MT,0.11079536378383636,0.027000542730093002,0.2667056620121002,0.02187233231961727,365.2500359228673,365.2500359228673,365.2500359228673,0.13750335574150085
3,114021_46842,MT,0.09446435421705246,0.03649540990591049,0.2763090431690216,0.028406504541635513,365.25001194631784,365.25001194631784,365.25001194631784,0.12366804480552673
4,114158_46244,MT,0.09145016223192215,0.04567168653011322,0.2207728773355484,0.048312682658433914,365.25000900642004,365.25000900642004,365.25000900642004,0.14263391494750977
5,115324_47594,MT,0.08989255130290985,0.039787519723176956,0.33958521485328674,0.030879240483045578,365.24999554489983,365.24999554489983,365.24999554489983,0.12921111285686493
6,112501_46003,MT,0.07885914295911789,0.07512138783931732,0.3491499423980713,0.20439225435256958,365.24998933609584,365.24998933609584,365.24998933609584,0.15133850276470184
7,105343_44097,WY,0.08661828190088272,0.031918011605739594,0.3543851673603058,0.04484710097312927,365.2500067497584,365.2500067497584,365.2500067497584,0.1297125667333603
8,105386_43427,WY,0.09962613135576248,0.023639770224690437,0.30764520168304443,0.052906524389982224,365.2500094588493,365.2500094588493,365.2500094588493,0.1657600998878479
9,112046_43465,ID,0.1018218919634819,0.04731414094567299,0.2636219561100006,0.08173391222953796,365.24999451998957,365.24999451998957,365.24999451998957,0.1379050761461258
10,115839_43823,ID,0.09833990782499313,0.060801710933446884,0.21738798916339874,0.11459456384181976,365.24998790659765,365.24998790659765,365.24998790659765,0.11457779258489609
11,116028_46209,ID,0.1041492372751236,0.08994966745376587,0.24539051949977875,0.38328275084495544,365.24998933609584,365.24998933609584,365.24998933609584,0.10709450393915176
12,116960_46722,ID,0.09380011260509491,0.033435896039009094,0.31581518054008484,0.030813561752438545,365.2500075213693,365.2500075213693,365.2500075213693,0.11488772928714752
13,116571_47317,ID,0.11215639859437943,0.04805807024240494,0.2930165231227875,0.02306809462606907,365.2499903634816,365.2499903634816,365.2499903634816,0.11649332195520401
14,115972_44104,ID,0.08521337062120438,0.043863434344530106,0.26114627718925476,0.07694850116968155,365.24999016780697,365.24999016780697,365.24999016780697,0.11453648656606674
15,116116_45931,ID,0.10296474397182465,0.09478295594453812,0.3040320873260498,0.11370891332626343,365.2499889943317,365.2499889943317,365.2499889943317,0.15404483675956726
16,113890_45182,ID,0.12642864882946014,0.03164759650826454,0.26088857650756836,0.08161281794309616,365.25000768192115,365.25000768192115,365.25000768192115,0.127125546336174
17,116993_46408,ID,0.08263556659221649,0.02268093451857567,0.2783922553062439,0.024103177711367607,365.24999566537343,365.24999566537343,365.24999566537343,0.11027494072914124
18,111092_44658,MT,0.08871869742870331,0.03742754086852074,0.32366982102394104,0.11238309741020203,365.25001149601457,365.25001149601457,365.25001149601457,0.13717667758464813
19,111864_42082,ID,0.08783139288425446,0.05578470975160599,0.2116837352514267,0.06377528607845306,365.24999825284766,365.24999825284766,365.24999825284766,0.11432619392871857
20,116106_44890,ID,0.09279747307300568,0.0760086253285408,0.25669610500335693,0.2456551492214203,365.2500046869086,365.2500046869086,365.2500046869086,0.12479934841394424
21,116348_43601,ID,0.08840513229370117,0.03996698558330536,0.3034884035587311,0.04975352808833122,365.2500052640729,365.2500052640729,365.2500052640729,0.11738208681344986
22,112013_46659,MT,0.1039552241563797,0.02372978813946247,0.364040732383728,0.01898791827261448,365.24998933609584,365.24998933609584,365.24998933609584,0.13802847266197205
