site,state,n_obs,rmse_log,mae_log,r2_log
112460_42877,ID,708,0.47889577336090644,0.367437959304014,0.41387368937029434
116237_47536,ID,729,0.4776434615814623,0.3684977507107204,0.5372092937740836
115553_48392,MT,726,0.4493709178537034,0.34294518402646595,0.4829217932888732
114021_46842,MT,727,0.5235303960049996,0.4211963815569271,0.03612273287403345
114158_46244,MT,715,0.7814442672205747,0.6132081914837118,0.06972721775327506
115324_47594,MT,719,0.47692053947454394,0.37706643545997265,0.30022937811312256
112501_46003,MT,730,0.7163926301023968,0.5579166713096985,0.18624040623994298
105343_44097,WY,722,0.6721355196788388,0.5405116928850463,0.004837033583690364
105386_43427,WY,648,0.6022595618566684,0.49032751266128133,0.12994085848310022
112046_43465,ID,719,0.6674121775321421,0.5644372274528552,-1.5938974428374837
115839_43823,ID,725,0.6408950427142397,0.5159722441444489,-0.5032569198173178
116028_46209,ID,730,0.5144067585642548,0.42360768109868985,-0.10558626843220731
116960_46722,ID,719,0.5825781917744823,0.4613055424305998,0.25717691944917465
116571_47317,ID,727,0.4070489363831027,0.3143531808028287,0.5462525530709567
115972_44104,ID,727,0.5557799122469415,0.4306856573126883,0.05899281594759842
116116_45931,ID,724,0.45577592987097887,0.35751096060302456,0.34539344165025987
113890_45182,ID,726,0.7441443308976017,0.561518079791836,0.07400433525045225
116993_46408,ID,718,0.6856550864178959,0.5537025435028032,0.14311906118473428
111092_44658,MT,721,0.889409308140993,0.728857859739752,-0.3002271836454866
111864_42082,ID,684,0.5367675346026838,0.37780805518816407,0.3542308862954874
116106_44890,ID,723,0.5641334117181046,0.44986365609032797,0.37873032274718565
116348_43601,ID,724,0.5023866253879015,0.3970820136018557,0.25180940679679376
112013_46659,MT,730,0.5231488169105859,0.38681574900833765,0.3339205662340081
112456_42978,ID,633,0.6156142275244175,0.4589547178115274,0.2186021329924437
116563_43580,ID,726,0.41326051609622133,0.31924015005574674,0.5386685867399286
111303_47494,MT,727,0.4195839770151714,0.3414650455410996,0.22918593541680599
105213_43648,WY,491,0.46882310928603005,0.38321588193487055,0.3636524508548854
111056_45684,MT,710,0.6051206132510256,0.5087029984776299,-0.7826654692725543
114224_47013,MT,697,0.4627093748280132,0.3788363283781786,0.13109659027787823
105370_45440,MT,728,0.5094274671711705,0.41580793674986355,0.18429056271720334
106490_45366,MT,707,0.408038626250854,0.3205569400574705,0.5103734029152347
114189_48364,MT,726,0.5821805947750729,0.4417137546252134,0.3679085210525286
111987_46850,MT,728,0.5038405288192055,0.3838739166001356,0.4433974142285606
104778_41182,WY,730,0.5659515835599218,0.43296955550856076,0.15971397465732662
109455_47049,MT,724,0.4089127231917749,0.3152717978747717,0.44789166329368013
107862_48318,MT,726,0.4392052124817953,0.33459550994235476,0.4281621218669843
107549_43082,WY,689,0.32870822623640267,0.2590981575585608,0.4965978585895797
108720_42530,WY,726,0.3915156195411291,0.29109502660750525,0.5428723721834682
114371_43683,ID,679,0.6515850388800133,0.5007127365663668,-0.3188291544134283
116557_48292,ID,722,0.6140174106114626,0.4607354613089283,0.2745894260570454
114252_42680,ID,688,0.5113532516768745,0.4116331443350967,0.04238595667069134
