fold,n_train,n_test,train_time,infer_time,fold_time,years
0,2000,1389,2.8875613901764154,0.1311209388077259,3.291999300941825,2019
1,2000,1560,1.9093814119696613,0.0952022522687912,2.008871704339981,2019
2,2000,927,1.73433087579906,0.1174391340464353,1.8555241376161573,2019
3,2000,2836,1.96138602681458,0.1208854429423809,2.1101962830871344,2019
4,2000,839,1.68706345371902,0.0866117514669895,1.778837589547038,2019
0,2000,2821,2.8726919144392014,0.1081769354641437,3.272422820329666,2018-2019
1,2000,3112,1.595955016091466,0.0890251528471708,1.7004189155995846,2018-2019
2,2000,1844,1.67465790361166,0.0874071642756462,1.766243889927864,2018-2019
3,2000,5634,1.6630819775164127,0.0887646228075027,1.7576747424900532,2018-2019
4,2000,1669,1.5921388417482376,0.0901023056358099,1.6862814389169216,2018-2019
0,2000,2821,2.8003213200718164,0.10707088746130466,3.211437216028571,2018-2019
1,2000,3112,1.564348204061389,0.08862195163965225,1.6595852691680193,2018-2019
2,2000,1844,1.54634640365839,0.08703086525201797,1.6377019453793764,2018-2019
3,2000,5634,1.5669699124991894,0.08774437941610813,1.6598826069384813,2018-2019
4,2000,1669,1.5289526302367449,0.08788198418915272,1.6216414477676153,2018-2019
