fold,site,state,n_inducing,n_train,n_test,ip_selection_time,train_time,infer_time,total_fold_time,stopped_epoch
0,112460_42877,ID,128,48144,708,8.371677920222282,108.56100550713018,0.020592971239238977,116.9532763985917,50
0,112460_42877,ID,256,48144,708,15.54611056810245,99.17859708610922,0.044087470043450594,114.76879512425512,50
0,112460_42877,ID,512,48144,708,25.835931687615812,111.67180073913187,0.04329704400151968,137.5510294707492,50
0,112460_42877,ID,1024,48144,708,60.19998303800821,144.3840863360092,0.038986523635685444,204.6230558976531,50
1,116237_47536,ID,128,48123,729,9.08611494814977,98.0783537402749,0.020173741038888693,107.18464242946357,50
1,116237_47536,ID,256,48123,729,18.969317333307117,98.67732464103028,0.03660182561725378,117.68324379995465,50
1,116237_47536,ID,512,48123,729,31.069521427620202,99.70418985001743,0.022763445042073727,130.7964747226797,50
1,116237_47536,ID,1024,48123,729,60.74100283300504,135.2177826212719,0.02707627322524786,195.9858617275022,50
2,115553_48392,MT,128,48126,726,9.853202206082642,87.68662716960534,0.019579350017011166,97.559408725705,50
2,115553_48392,MT,256,48126,726,24.20767601998523,103.78783953702077,0.03693630825728178,128.03245186526328,50
2,115553_48392,MT,512,48126,726,31.01328741479665,102.52289755782112,0.049653938971459866,133.58583891158924,50
2,115553_48392,MT,1024,48126,726,50.392870062962174,130.31876755226403,0.04784282483160496,180.7594804400578,50
3,114021_46842,MT,128,48125,727,10.543224181979895,103.68554167402908,0.020756959915161133,114.24952281592414,50
3,114021_46842,MT,256,48125,727,28.32619585795328,100.5868764333427,0.03797605820000172,128.95104834949598,50
3,114021_46842,MT,512,48125,727,48.26129748811945,112.15491127409041,0.032843663822859526,160.44905242603272,50
3,114021_46842,MT,1024,48125,727,67.581030709669,145.3350784080103,0.02811887813732028,212.94422799581662,50
4,114158_46244,MT,128,48137,715,10.645647833123803,108.85453653382137,0.03172090416774154,119.53190527111292,50
4,114158_46244,MT,256,48137,715,23.8008199990727,107.6984373787418,0.036164029967039824,131.53542140778154,50
4,114158_46244,MT,512,48137,715,45.312610073015094,116.69324817461893,0.03692285669967532,162.0427811043337,50
4,114158_46244,MT,1024,48137,715,85.71030785795301,150.3562429761514,0.02656347071751952,236.09311430482194,50
5,115324_47594,MT,128,48133,719,11.734624989330769,81.43114982312545,0.035735598765313625,93.20151041122153,50
5,115324_47594,MT,256,48133,719,9.083374161273241,96.3779201861471,0.032830805983394384,105.49412515340373,50
5,115324_47594,MT,512,48133,719,21.65565585764125,107.61470316397026,0.036159300711005926,129.30651832232252,50
5,115324_47594,MT,1024,48133,719,35.966675323899835,127.6256759967655,0.07677447516471148,163.66912579583004,50
6,112501_46003,MT,128,48122,730,17.537921681068838,107.70942016458139,0.02016415260732174,125.26750599825755,50
6,112501_46003,MT,256,48122,730,22.523754332680255,111.3000769210048,0.04008252685889602,133.86391378054395,50
6,112501_46003,MT,512,48122,730,32.303955662064254,121.78190197097138,0.03501967014744878,154.12087730318308,50
6,112501_46003,MT,1024,48122,730,74.60304421186447,145.05917351227254,0.03836050210520625,219.70057822624221,50
7,105343_44097,WY,128,48130,722,12.730093051679432,103.63138627912849,0.03707926021888852,116.39855859102681,50
7,105343_44097,WY,256,48130,722,24.34758885530755,101.28396773291752,0.023417500779032707,125.6549740890041,50
7,105343_44097,WY,512,48130,722,43.91551385913044,115.50436068279669,0.034621906001120806,159.45449644792825,50
7,105343_44097,WY,1024,48130,722,66.82129561016336,138.73496674420312,0.027865041978657246,205.58412739634514,50
8,105386_43427,WY,128,48204,648,11.060123329982162,120.2550710728392,0.02280353382229805,131.33799793664366,50
8,105386_43427,WY,256,48204,648,19.52045388240367,108.66920925909653,0.041243632324039936,128.23090677382424,50
8,105386_43427,WY,512,48204,648,41.18765201373026,113.68663451401517,0.044162239879369736,154.9184487676248,50
8,105386_43427,WY,1024,48204,648,83.99071485316381,148.8869500029832,0.06336868088692427,232.94103353703395,50
9,112046_43465,ID,128,48133,719,9.156407533213496,102.42266090633348,0.020212505012750626,111.59928094455972,50
9,112046_43465,ID,256,48133,719,21.30982164759189,113.381305412855,0.0370110790245235,134.7281381394714,50
9,112046_43465,ID,512,48133,719,55.533030048944056,115.86729232175276,0.04232871299609542,171.4426510836929,50
9,112046_43465,ID,1024,48133,719,53.0773666263558,150.96914817206562,0.027275657281279564,204.0737904557027,50
10,115839_43823,ID,128,48127,725,12.755680582020432,121.65425253892317,0.05715471692383289,134.46708783786744,50
10,115839_43823,ID,256,48127,725,23.052882879041135,130.9182679252699,0.04777716472744942,154.0189279690385,50
10,115839_43823,ID,512,48127,725,45.09897500323132,96.17911246838048,0.05365654919296503,141.33174402080476,50
10,115839_43823,ID,1024,48127,725,56.32919424213469,127.0352204288356,0.05450174491852522,183.41891641588882,50
11,116028_46209,ID,128,48122,730,12.584846254903823,111.91096103005111,0.023322970140725374,124.51913025509566,50
11,116028_46209,ID,256,48122,730,26.198557605035603,107.85733017278835,0.021352982614189386,134.07724076043814,50
11,116028_46209,ID,512,48122,730,42.4661434632726,112.33259465917945,0.02289169281721115,154.82162981526926,50
11,116028_46209,ID,1024,48122,730,46.03939667111263,146.35554408701137,0.02702953666448593,192.42197029478848,50
12,116960_46722,ID,128,48133,719,10.116193251684308,105.74481063289568,0.04431422986090183,115.90531811444089,50
12,116960_46722,ID,256,48133,719,12.571359036955982,100.66426469525322,0.0369652989320457,113.27258903114125,50
12,116960_46722,ID,512,48133,719,46.80470386194065,118.4434715481475,0.03677440667524934,165.2849498167634,50
12,116960_46722,ID,1024,48133,719,85.89202853338793,149.0878947461024,0.06835651397705078,235.04827979346737,50
13,116571_47317,ID,128,48125,727,6.136880272999406,107.05721473507583,0.041129065211862326,113.2352240732871,50
13,116571_47317,ID,256,48125,727,15.35969068389386,103.90839172480628,0.020957237109541893,119.28903964580968,50
13,116571_47317,ID,512,48125,727,36.06295277597383,111.89291233196855,0.04142115218564868,147.99728626012802,50
13,116571_47317,ID,1024,48125,727,87.6744469688274,152.01868347916752,0.031122069340199232,239.72425251733512,50
14,115972_44104,ID,128,48125,727,12.281385003123432,95.8910609697923,0.020687006879597902,108.19313297979534,50
14,115972_44104,ID,256,48125,727,18.46324894297868,92.44705518707633,0.02055702731013298,110.93086115736514,50
14,115972_44104,ID,512,48125,727,23.360498587600887,97.815561120864,0.04742754017934203,121.22348724864423,50
14,115972_44104,ID,1024,48125,727,37.74410651391372,135.11055906303227,0.047239657025784254,172.90190523397177,50
15,116116_45931,ID,128,48128,724,13.149213501717895,107.7044001580216,0.03982234187424183,120.89343600161374,50
15,116116_45931,ID,256,48128,724,22.066177933942527,112.00196825014427,0.03715619817376137,134.10530238226056,50
15,116116_45931,ID,512,48128,724,40.61337631801143,115.39596811402589,0.03629252593964338,156.04563695797697,50
15,116116_45931,ID,1024,48128,724,82.23988211899996,153.09615654777735,0.03545153792947531,235.3714902047068,50
